"統計表ID","政府統計名","作成期間名","提供統計及び提供分類名","表題","提供周期","調査年月","公開日","小地域属性"
"0003014162","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成19年確報","3-3 工業地区編 工業地区別、事業所数ウェイト順による産業細分類別統計","年次","200701-200712","2010-03-23","0"
"0003014163","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成19年確報","3-4 工業地区編 工業地区別、出荷額ウェイト順による産業細分類別統計","年次","200701-200712","2010-03-23","0"
"0003031590","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成20年確報","3-3 工業地区編 工業地区別、事業所数ウェイト順による産業細分類別統計","年次","200801-200812","2012-12-23","0"
"0003031591","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成20年確報","3-4 工業地区編 工業地区別、出荷額ウェイト順による産業細分類別統計","年次","200801-200812","2012-12-23","0"
"0003086692","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成21年確報","3-3 工業地区編 工業地区別、事業所数ウェイト順による産業細分類別統計","年次","200901-200912","2012-03-31","0"
"0003086673","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成21年確報","3-4 工業地区編 工業地区別、出荷額ウェイト順による産業細分類別統計","年次","200901-200912","2012-03-31","0"
"0003094969","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成22年確報","3-3 工業地区編 工業地区別、事業所数ウェイト順による産業細分類別統計","年次","201001-201012","2013-03-31","0"
"0003094970","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成22年確報","3-4 工業地区編 工業地区別、出荷額ウェイト順による産業細分類別統計","年次","201001-201012","2013-03-31","0"
"0003097944","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成24年確報","7-3 工業地区編 工業地区別、事業所数ウェイト順による産業細分類別統計","年次","201201-201212","2014-05-09","0"
"0003097963","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成24年確報","7-4 工業地区編 工業地区別、出荷額ウェイト順による産業細分類別統計","年次","201201-201212","2014-05-09","0"
"0003092934","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成19年確報","4-13 用地・用水編 事業所数、水源別工業用水量及び用途別工業用水量（工業地区別、産業中分類別統計）","年次","200701-200712","2010-03-23","0"
"0003014153","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成19年確報","4-09 用地・用水編 事業所数、水源別工業用水量及び用途別工業用水量（産業細分類別統計）","年次","200701-200712","2010-03-23","0"
"0003031579","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成20年確報","4-9 用地・用水編 事業所数、水源別工業用水量及び用途別工業用水量（産業細分類別統計）","年次","200801-200812","2012-12-23","0"
"0003085508","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成21年確報","4-9 用地・用水編 事業所数、水源別工業用水量及び用途別工業用水量（産業細分類別統計）","年次","200901-200912","2012-03-31","0"
"0003094747","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成22年確報","4-9 用地・用水編 事業所数、水源別工業用水量及び用途別工業用水量（産業細分類別統計）","年次","201001-201012","2013-03-31","0"
"0003097855","00550010 工業統計調査","00550 経済産業省","工業統計調査 確報 平成24年確報","4-9 用地・用水編 事業所数、水源別工業用水量及び用途別工業用水量（産業細分類別統計）","年次","201201-201212","2014-05-09","0"
"0003014206","00550010 工業統計調査","00550 経済産業省","工業統計調査 概要版 平成19年工業統計表「概要版」","2-1 産業別統計表（産業細分類別、従業者４人以上の事業所に関する統計表）","年次","200701-200712","2010-03-12","0"
